source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Dezeen'}",Kate Mazade,MODA ramps rooftop garden along Calgary multifamily housing,"Local architecture studio Modern Office of Design + Architecture has wrapped a multifamily housing development in wood siding and topped it with ramped roof gardens in Calgary, Alberta. Read more",https://www.dezeen.com/2024/08/16/moda-rooftop-garden-calgary-multifamily-housing/,https://static.dezeen.com/uploads/2024/08/moda-grow-canada-full-res_dezeen_2364_hero-600x600.jpg,2024-08-16T17:00:53Z,"Local architecture studio Modern Office of Design + Architecture has wrapped a multifamily housing development in wood siding and topped it with ramped roof gardens in Calgary, Alberta.
Known as GRO… [+4136 chars]"
"{'id': None, 'name': 'Autoblog'}",Stephen Williams,Fake parking tickets are a scam bedeviling unsuspecting drivers,"Filed under:
 Government/Legal,Weird Car News
 Continue reading Fake parking tickets are a scam bedeviling unsuspecting drivers
Fake parking tickets are a scam bedeviling unsuspecting drivers originally appeared on Autoblog on Sun, 25 Aug 2024 08:00:00 EDT. P…",https://www.autoblog.com/2024/08/25/fake-parking-tickets-are-a-scam-bedeviling-unsuspecting-drivers/,https://edgecast-img.yahoo.net/mysterio/api/54A6CA87B613213526B1DE1E201B958BE395FC82A068EA5CAF563004D3095CE1/autoblog/resizefill_w1200_h675;quality_85;format_webp;cc_31536000;/https://s.aolcdn.com/images/dims3/GLOB/legacy_thumbnail/1200x675/format/jpg/quality/100/https://s.aolcdn.com/os/ab/_cms/2022/12/27103734/Fake-parking-tickets.jpg,2024-08-25T12:00:00Z,"As if paying a parking ticket wasnt the cause of enough frustration, consider sending off your bank details to pay a fake ticket, and getting scammed in the process.
According to Carscoops, criminal… [+1233 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Grace Dean,I'm a Costco superfan. The prices are hard to beat and you can get pretty much anything there — I've even booked my mom a cruise.,"Michael McKinlay, a self-proclaimed Costco ""superfan,"" has used it to buy hockey sticks, hire rental cars, and even book a cruise for his mom.",https://www.businessinsider.com/costco-superfan-why-i-love-costco-prices-cruise-hearing-aids-2024-8,https://i.insider.com/66bb483ab4912df3ae1b0cb6?width=1200&format=jpeg,2024-08-17T10:33:02Z,"Michael McKinlay describes himself as a Costco superfan.Courtesy of Terumi Morita
<ul><li>Michael McKinlay, 46, from Calgary, describes himself as a Costco superfan.</li><li>As well as its low price… [+5832 chars]"
"{'id': None, 'name': 'NPR'}",The Associated Press,Arbitration hearing between Canadian railroads and union ends with no decision,A workers union threatened a strike at one of Canada’s two major railroads. A government-ordered arbitration hearing ended without a decision. Trains are expected to keep moving through Monday.,https://www.npr.org/2024/08/24/g-s1-19431/arbitration-hearing-canadian-railroads-union-ends-no-decision,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4000x2250+0+236/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fbf%2Fb9%2Ff5b4702a4e7f96091310ba409e30%2Fap24236576384286.jpg,2024-08-24T04:53:59Z,"TORONTO A workers union on Friday threatened a strike at one of Canadas two major freight railroads, only hours after the companys trains restarted following a potentially devastating stoppage. A gov… [+6479 chars]"
"{'id': None, 'name': 'Contemporist.com'}",Erin,A Dark Wood Exterior Complements The Forest Surrounding This Modern Home,"Design and build company Alloy Homes Incorporated, has sent us photos of a new home they completed in Calgary, Alberta, that was artfully designed around its relationship with the mature urban forest across the street",https://www.contemporist.com/a-dark-wood-exterior-complements-the-forest-surrounding-this-modern-home/,https://www.contemporist.com/wp-content/uploads/2024/08/forest-house-dark-exterior-architecture-150824-843-01a.jpg,2024-08-16T12:40:18Z,"Design and build company Alloy Homes Incorporated, has sent us photos of a new home they completed in Calgary, Alberta, that was artfully designed around its relationship with the mature urban forest… [+921 chars]"
"{'id': None, 'name': 'Quartz India'}",Ryan Erik King / Jalopnik,Bank accounts are being emptied thanks to scammers using fake parking tickets,Parking tickets are the latest vector for scammers to empty out bank accounts from New York to Southern California. Calgary became the latest North American city to address the growing trend of fake tickets on Tuesday. The Canadian city’s parking authority ad…,https://qz.com/scammers-are-using-fake-parking-tickets-to-empty-bank-a-1851619362,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/cf8d85919afd488225de11b216d720c7.jpg",2024-08-12T13:41:53Z,Parking tickets are the latest vector for scammers to empty out bank accounts from New York to Southern California. Calgary became the latest North American city to address the growing trend of fake … [+1391 chars]
"{'id': None, 'name': 'Pitchfork'}",Matthew Strauss,"Godspeed You! Black Emperor Announce New Album “No Title as of 13 February 2024 28,340 Dead”, Share Song: Listen",The Canadian post-rock band will tour extensively in support of its follow-up to 2021’s G_d’s Pee at State’s End!,https://pitchfork.com/news/godspeed-you-black-emperor-announce-new-album-no-title-as-of-13-february-2024-28340-dead-share-song-listen/,"https://media.pitchfork.com/photos/665f1c05346b1b958065ff44/16:9/w_1280,c_limit/Godspeed-You-Black-Emperor.jpg",2024-08-28T09:46:08Z,"Godspeed You! Black Emperor:
09-27 Dublin, Ireland - National Stadium09-29 London, England - Troxy09-30 Glasgow, Scotland - Barrowlands10-01 Manchester, England - Ritz10-02 Bristol, England - Marble… [+1960 chars]"
"{'id': 'bleacher-report', 'name': 'Bleacher Report'}",Lyle Richardson,BS Meter on the Latest NHL Trade Rumors,"We are now well entrenched in the dog
days of the NHL offseason. With the best unrestricted free agents
under contract and the salary arbitration period…",https://bleacherreport.com/articles/10130719-bs-meter-on-the-latest-nhl-trade-rumors,"https://media.bleacherreport.com/image/upload/c_fill,g_faces,w_3800,h_2000,q_95/v1722779655/uoghdnti5neeo8yhnnwy.jpg",2024-08-06T11:00:00Z,"Columbus Blue Jackets winger Patrik Laine.Jason Mowry/Getty Images
We are well entrenched in the dog days of the NHL offseason. With the best unrestricted free agents under contract and the salary-a… [+1331 chars]"
"{'id': 'cbc-news', 'name': 'CBC News'}",,"July home sales dipped on monthly basis, but up from a year ago, says CREA","Canadian home sales edged back by 0.7 per cent in July, according to the Canadian Real Estate Association.",https://www.cbc.ca/news/business/july-crea-2024-1.7295238,https://i.cbc.ca/1.7221002.1717177672!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/homes-for-sale.jpg,2024-08-15T13:18:18Z,"Canadian home sales dipped by 0.7 per cent in July from the month before, the Canadian Real Estate Association said on Thursday.
But monthly sales activity was 4.8 per cent higher than it was during… [+1200 chars]"
"{'id': None, 'name': 'Wikipedia.org'}",Contributors to Wikimedia projects,Ken Leishman,Comments,https://en.wikipedia.org/wiki/Ken_Leishman,https://upload.wikimedia.org/wikipedia/en/3/33/Ken_Leishman.jpg,2024-08-01T22:18:10Z,"Kenneth Leishman (June 20, 1931 December 14, 1979), also known as the Flying Bandit or the Gentleman Bandit was a Canadian criminal responsible for multiple robberies between 1957 and 1966. Leishman … [+9077 chars]"
